horizon,n_obs,n_periods,ic_mean,ic_std,t_stat,icir,hit_rate,p_value
Q+1,30,3,-0.6162,0.2409,-4.431,-2.558,0.0,0.0686
Q+2,30,3,-0.6646,0.1993,-5.778,-3.336,0.0,0.0421
Q+3,20,2,-0.4909,0.2424,-2.864,-2.025,0.0,0.292
Q+4,20,2,-0.303,0.0424,-10.102,-7.143,0.0,0.0886
