ticker,quarters_total,quarters_real,monsoon_excluded,pai_available,rev_available
ABFRL,9,9,2,7,5
BARBEQUE,12,0,3,9,8
DEVYANI,9,9,2,7,5
DMART,9,9,2,7,5
JUBLFOOD,9,9,2,7,5
METRO,9,9,2,7,5
SAPPHIRE,9,9,2,7,5
SHOPERSTOP,9,9,2,7,5
SPENCERS,9,9,2,7,5
TRENT,9,9,2,7,5
VMART,12,0,3,9,8
WESTLIFE,9,9,2,7,5
